"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: iteratorType","Param: library","Param: shapeType","Param: sigma","Param: skipCenter","Param: useOutOfBounds"
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,327.241480,5.194358,"ops/us",,,RectangleShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,327.368676,3.325351,"ops/us",,,CenteredRectangleShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,325.505975,4.700823,"ops/us",,,RectangleShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,323.838125,7.479437,"ops/us",,,CenteredRectangleShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,329.236232,2.444970,"ops/us",,,DiamondShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,329.087045,2.097262,"ops/us",,,DiamondTipsShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,246.737306,2.036801,"ops/us",,,HorizontalLineShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,247.440005,1.851537,"ops/us",,,HorizontalLineShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,329.131255,3.271255,"ops/us",,,HyperSphereShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,163.559161,1.831825,"ops/us",,,PairOfPointsShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,160.215267,9.121287,"ops/us",,,PeriodicLineShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.012500,0.000241,"us/op",,,RectangleShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.012383,0.000169,"us/op",,,CenteredRectangleShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.012484,0.000287,"us/op",,,RectangleShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.012391,0.000212,"us/op",,,CenteredRectangleShapeSC,,,
