"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: iteratorType","Param: library","Param: optimized","Param: shapeType","Param: sigma","Param: skipCenter","Param: useOutOfBounds"
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,323.548511,3.958102,"ops/us",,,,RectangleShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,327.539573,3.948332,"ops/us",,,,CenteredRectangleShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,330.810507,2.377989,"ops/us",,,,RectangleShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,327.221287,3.570451,"ops/us",,,,CenteredRectangleShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,333.442565,2.329236,"ops/us",,,,DiamondShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,331.889554,2.610879,"ops/us",,,,DiamondTipsShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,247.734165,1.552000,"ops/us",,,,HorizontalLineShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,246.996977,2.081863,"ops/us",,,,HorizontalLineShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,329.950175,2.878727,"ops/us",,,,HyperSphereShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,164.757049,1.372401,"ops/us",,,,PairOfPointsShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","thrpt",4,20.000000,163.727140,1.197209,"ops/us",,,,PeriodicLineShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.012391,0.000234,"us/op",,,,RectangleShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.012586,0.000276,"us/op",,,,CenteredRectangleShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.012399,0.000339,"us/op",,,,RectangleShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.012366,0.000222,"us/op",,,,CenteredRectangleShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.012219,0.000225,"us/op",,,,DiamondShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.012375,0.000220,"us/op",,,,DiamondTipsShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.016418,0.000282,"us/op",,,,HorizontalLineShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.016457,0.000280,"us/op",,,,HorizontalLineShapeSC,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.012261,0.000212,"us/op",,,,HyperSphereShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.024861,0.000434,"us/op",,,,PairOfPointsShape,,,
"de.squareys.nhbench.imglib2.CreateShapeBenchmark.createShape","avgt",4,20.000000,0.024897,0.000408,"us/op",,,,PeriodicLineShape,,,
"de.squareys.nhbench.imglib2.IterateNeighborhoodsBenchmark.iterateThroughNeighborhood","avgt",4,20.000000,8.020103,0.780598,"ms/op",safe,,true,,,false,false
